"","Location","Treatment","Location Bonferroni-corrected","Treatment Bonferroni-corrected"
"Unknown MST 1",0.673625549609496,0.758747670682813,175.816268448078,198.033142048214
"Alanine (2TMS)",0.00151774059391984,0.440051660752921,0.396130295013077,114.853483456513
"Unknown MST 2",0.0188427015938689,0.872025098177167,4.91794511599979,227.598550624241
"Pyruvic acid (1MEOX) (1TMS)",0.00359985794599865,0.643850190362105,0.939562923905647,168.044899684509
"Glycine (2TMS)",0.693329678195629,0.67379950571542,180.959046009059,175.861670991725
"Unknown MST 3",0.877694128748626,0.715247524187275,229.078167603391,186.679603812879
"Unknown MST 4",0.179503797857923,0.832474913115324,46.8504912409178,217.2759523231
"Unknown MST 5",0.501880449260244,0.746044074018137,130.990797256924,194.717503318734
"Unknown MST 6",0.259062391568217,0.527019640469456,67.6152841993047,137.552126162528
"Valine (2TMS)",0.146380705163496,0.435935316468939,38.2053640476724,113.779117598393
"Unknown MST 7",0.770246692419415,0.683663994315794,201.034386721467,178.436302516422
"Unknown MST 8",0.709506101837518,0.607260174842465,185.181092579592,158.494905633883
"Unknown MST 9",0.40733901585778,0.720708427829773,106.315483138881,188.104899663571
"Unknown MST 10",0.0805123218024992,0.824872120509593,21.0137159904523,215.291623453004
"Leucine (2TMS)",0.934298989917373,0.884983595940716,243.852036368434,230.980718540527
"Unknown MST 11",0.591102295061949,0.388887924799382,154.277699011169,101.499748372639
"Unknown MST 12",0.337140869668355,0.985921426394369,87.9937669834407,257.32549228893
"Unknown MST 13",0.101257823188118,0.575831641676869,26.4282918520988,150.292058477663
"Unknown MST 14",0.941866523865312,0.851629804978189,245.827162728847,222.275379099307
"Unknown MST 15",0.513698664038355,0.503426724417367,134.075351314011,131.394375072933
"Isoleucine (2TMS)",0.321369106037953,0.199083921855451,83.8773366759058,51.9609036042727
"Glycine (3TMS)",0.913005535986173,0.825345376741678,238.294444892391,215.415143329578
"Unknown MST 16",0.646226572070594,0.377455018852402,168.665135310425,98.515759920477
"Unknown MST 17",0.0352250486678131,0.837407675147137,9.19373770229921,218.563403213403
"Proline (2TMS)",0.579812753401893,0.370333402667753,151.331128637894,96.6570180962836
"Glyceric acid (3TMS)",0.521944242309196,0.159054475367257,136.2274472427,41.513218070854
"Unknown MST 18",0.560186437339376,0.596300729551992,146.208660145577,155.63449041307
"Unknown MST 19",0.325709059077566,0.115940304952677,85.0100644192447,30.2604195926486
"Unknown MST 20",0.850365694212806,0.70170761970905,221.945446189542,183.145688744062
"Serine (3TMS)",0.471674779872039,0.464616848170344,123.107117546602,121.26499737246
"Unknown MST 21",0.902036509858081,0.355998083029633,235.431529072959,92.9154996707342
"Threonine (3TMS)",0.285201780589175,0.105913014650307,74.4376647337746,27.64329682373
"Fumaric acid (2TMS)",0.239097551709175,0.601954829795147,62.4044609960946,157.110210576533
"Unknown MST 22",0.637347508810015,0.394916671627256,166.347699799414,103.073251294714
"1-Pyrroline-2-carboxylate (1TMS)",0.44234548654104,0.19435359166533,115.452171987211,50.7262874246513
"Unknown MST 23",0.973564248510563,0.650883890523107,254.100268861257,169.880695426531
"Unknown MST 24",0.434074521151052,0.472866550292486,113.293450020425,123.418169626339
"Nicotinic acid (1TMS)",0.192225336403585,0.272246150978443,50.1708128013356,71.0562454053737
"Unknown MST 25",0.590412849396005,0.597124789628763,154.097753692357,155.849570093107
"Unknown MST 26",0.277320598343232,0.783327149820109,72.3806761675836,204.448386103049
"Alanine, beta- (3TMS)",0.0615272518946929,0.228470770471631,16.0586127445148,59.6308710930956
"Unknown MST 27",0.303037302902356,0.992003081447983,79.0927360575149,258.912804257923
"Unknown MST 28",0.98821544603744,0.641644308172467,257.924231415772,167.469164433014
"Unknown MST 29",0.691659021206809,0.732910973742548,180.523004534977,191.289764146805
"Unknown MST 30",0.299137888057435,0.638735483978171,78.0749887829906,166.709961318303
"Homoserine (3TMS)",0.0951489052139931,0.298230409183768,24.8338642608522,77.8381367969634
"Unknown MST 31",0.0897908258449716,0.848848281892927,23.4354055455376,221.549401574054
"Erythritol (4TMS)",0.633258690331459,0.915788787574107,165.280518176511,239.020873556842
"Unknown MST 32",0.826095818718784,0.259606695270723,215.611008685603,67.7573474656586
"Unknown MST 33",0.61074905917588,0.977185311121531,159.405504444905,255.04536620272
"Unknown MST 34",0.671386703760527,0.65756343286715,175.231929681497,171.624055978326
"Unknown MST 35",0.694243950142019,0.679767970142021,181.197670987067,177.419440207068
"Unknown MST 36",0.749952706931701,0.291808985137094,195.737656509174,76.1621451207815
"Unknown MST 37",0.298837648888614,0.225366945715195,77.9966263599283,58.8207728316659
"Unknown MST 38",0.0574120995544858,0.459441626781268,14.9845579837208,119.914264589911
"Unknown MST 39",0.387498293895636,0.66184648558222,101.137054706761,172.74193273696
"Unknown MST 40",0.370942508937153,0.723913432296035,96.8159948325969,188.941405829265
"Unknown MST 41",0.20065230746712,0.900048320966414,52.3702522489183,234.912611772234
"Unknown MST 42",0.0018726979738273,0.170625977982106,0.488774171168926,44.5333802533297
"Malic acid (3TMS)",0.974002235086418,0.47315331495614,254.214583357555,123.493015203553
"Unknown MST 43",0.965457706526874,0.13791795118348,251.984461403514,35.9965852588883
"Unknown MST 44",0.934122087374512,0.957901115809533,243.805864804748,250.012191226288
"Unknown MST 45",0.361701841691436,0.745889453761,94.4041806814648,194.677147431621
"Butanoic acid, 4-amino- (3TMS)",0.861174852077221,0.701818041390865,224.766636392155,183.174508803016
"Unknown MST 46",0.0927276263586353,0.2236036359966,24.2019104796038,58.3605489951127
"Unknown MST 47",0.470574890589991,0.495343394483369,122.820046443988,129.284625960159
"Aspartic acid (3TMS)",0.935318170877194,0.659207896804434,244.118042598948,172.053261065957
"Unknown MST 48",0.264487072864523,0.38193152143269,69.0311260176404,99.6841270939321
"Unknown MST 49",0.476464343454897,0.988508597990539,124.357193641728,258.000744075531
"Unknown MST 50",0.307668465568151,0.63815257410443,80.3014695132874,166.557821841256
"Unknown MST 51",0.208144236115705,0.520471343193011,54.325645626199,135.843020573376
"Unknown MST 52",0.682090597208344,0.946454364969854,178.025645871378,247.024589257132
"Unknown MST 54",0.681240205863254,0.625714463645746,177.803693730309,163.31147501154
"Methionine (2TMS)",0.154399425047238,0.615725030963471,40.298249937329,160.704233081466
"Unknown MST 53",0.234718555405713,0.470554944151693,61.261542960891,122.814840423592
"Unknown MST 55",0.55260330631682,0.292574319032878,144.22946294869,76.3618972675811
"Unknown MST 56",0.554719838403477,0.813948306631056,144.781877823308,212.440508030706
"Unknown MST 57",0.417419459905206,0.745511430088318,108.946479035259,194.578483253051
"Unknown MST 58",0.1311868457086,0.782000996276356,34.2397667299446,204.102260028129
"Unknown MST 59",0.469319399711736,0.662888023735011,122.492363324763,173.013774194838
"Unknown MST 60",0.287100962443242,0.983693451868654,74.9333511976862,256.743990937719
"Unknown MST 61",0.4860820205642,0.908721057486157,126.867407367256,237.176196003887
"Unknown MST 62",0.73726816875693,0.380602201522407,192.426992045559,99.3371745973482
"Ribitol (5TMS)",0.942460567689045,0.547744883574372,245.982208166841,142.961414612911
"Unknown MST 63",0.00437045376617725,0.682540486024106,1.14068843297226,178.143066852292
"Unknown MST 64",0.504901896659761,0.206287132389752,131.779395028198,53.8409415537253
"Pyroglutamic acid (2TMS)",0.402161865134348,0.767944505176273,104.964246800065,200.433515851007
"Glutamic acid (3TMS)",0.859736128036353,0.980420698329494,224.391129417488,255.889802263998
"Unknown MST 65",0.578841415017626,0.905540284361815,151.0776093196,236.346014218434
"Unknown MST 66",0.838105165968474,0.347232977256332,218.745448317772,90.6278070639025
"Unknown MST 67",0.364662611379957,0.230003094276814,95.1769415701688,60.0308076062484
"Putrescine (4TMS)",0.844641075528873,0.778786343833486,220.451320713036,203.26323574054
"Unknown MST 68",0.703434681397685,0.764830449368258,183.596451844796,199.620747285115
"Unknown MST 69",0.283916509604375,0.845797714398598,74.102209006742,220.753203458034
"Unknown MST 70",0.132813991090065,0.766406260629115,34.6644516745069,200.032034024199
"Glutaric acid, 2-oxo- (1MEOX) (2TMS) MP",0.852048081256015,0.266065115958046,222.38454920782,69.4429952650501
"Unknown MST 71",0.957300465008722,0.956316543912759,249.855421367276,249.59861796123
"Unknown MST 72",0.868368504517613,0.657920106704407,226.644179679097,171.71714784985
"Unknown MST 73",0.151826587824117,0.517062257324823,39.6267394220946,134.953249161779
"Phenylalanine (2TMS)",0.810724204448686,0.943182124313823,211.599017361107,246.170534445908
"Unknown MST 74",0.837401884220043,0.404869305348752,218.561891781431,105.670888696024
