"Sample Name"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Assay Name"	"Raw Data File"	"Protocol REF"	"Parameter Value[Trait Definition File]"	"Derived Data File"
"sample_1"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_1"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_2"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_2"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_3"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_3"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_4"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_4"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_5"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_5"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_6"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_6"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_7"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_7"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_8"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_8"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_9"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_9"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_10"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_10"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_11"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_11"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_12"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_12"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_13"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_13"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_14"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_14"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_15"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_15"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_16"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_16"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_17"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_17"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_18"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_18"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_19"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_19"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_20"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_20"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_21"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_21"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_22"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_22"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_23"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_23"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_24"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_24"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_25"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_25"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_26"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_26"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_27"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_27"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_28"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_28"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_29"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_29"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_30"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_30"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_31"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_31"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_32"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_32"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_33"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_33"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_34"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_34"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_35"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_35"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
"sample_36"	"seed"	"PO"	"http://purl.obolibrary.org/obo/PO_0009010"	"assay_36"	""	"Data transformation"	"tdf_wheatfus.txt"	"data_wheatfus.xlsx"
