Assay name	FDK1	FDK2	KWS	TKW	PMay	PJune	PJuly	TMay	TJune	TJuly
assay_1	1,81	1,92	0,39	35	109,7	25,8	84,3	11,5	17,4	22,1
assay_2	3,62	6,5	0,48	21,88	109,7	25,8	84,3	11,5	17,4	22,1
assay_3	18,44	21,95	0,49	33,7	109,7	25,8	84,3	11,5	17,4	22,1
assay_4	12,17	21,9	0,43	15,22	109,7	25,8	84,3	11,5	17,4	22,1
assay_5	15,28	26,53	0,42	12,7	109,7	25,8	84,3	11,5	17,4	22,1
assay_6	17,65	29,34	0,31	14,21	109,7	25,8	84,3	11,5	17,4	22,1
assay_7	3,57	6,23	0,45	20	109,7	25,8	84,3	11,5	17,4	22,1
assay_8	6,05	9,92	0,38	17,69	109,7	25,8	84,3	11,5	17,4	22,1
assay_9	5,86	7,36	0,39	27,06	109,7	25,8	84,3	11,5	17,4	22,1
assay_10	14,24	16,75	0,59	25,69	109,7	25,8	84,3	11,5	17,4	22,1
assay_11	3,61	6,82	0,58	23,33	109,7	25,8	84,3	11,5	17,4	22,1
assay_12	6,36	10	0,41	24,76	109,7	25,8	84,3	11,5	17,4	22,1
assay_13	4,48	7,59	0,61	25	109,7	25,8	84,3	11,5	17,4	22,1
assay_14	2,33	6	0,52	16	109,7	25,8	84,3	11,5	17,4	22,1
assay_15	4,88	6,93	0,62	28,57	109,7	25,8	84,3	11,5	17,4	22,1
assay_16	4,43	6,58	0,47	26,25	109,7	25,8	84,3	11,5	17,4	22,1
assay_17	2,77	6,64	0,45	16,67	109,7	25,8	84,3	11,5	17,4	22,1
assay_18	1,5	1,42	0,6	25	109,7	25,8	84,3	11,5	17,4	22,1
assay_19	10,36	16,23	0,42	23,24	109,7	25,8	84,3	11,5	17,4	22,1
assay_20	3,19	6,86	0,53	17,89	109,7	25,8	84,3	11,5	17,4	22,1
assay_21	14,87	23,08	0,47	23,5	109,7	25,8	84,3	11,5	17,4	22,1
assay_22	27,7	34,9	0,44	23,65	109,7	25,8	84,3	11,5	17,4	22,1
assay_23	21,93	29,71	0,35	21,41	109,7	25,8	84,3	11,5	17,4	22,1
assay_24	23,22	31,65	0,41	20,43	109,7	25,8	84,3	11,5	17,4	22,1
assay_25	5,59	10,8	0,59	28,7	109,7	25,8	84,3	11,5	17,4	22,1
assay_26	1,86	2,97	0,43	22,86	109,7	25,8	84,3	11,5	17,4	22,1
assay_27	3,19	4,65	0,47	25	109,7	25,8	84,3	11,5	17,4	22,1
assay_28	5,88	7,79	0,5	23,6	109,7	25,8	84,3	11,5	17,4	22,1
assay_29	4,89	5,63	0,48	26,11	109,7	25,8	84,3	11,5	17,4	22,1
assay_30	3,13	5,45	0,48	17,65	109,7	25,8	84,3	11,5	17,4	22,1
assay_31	10,83	14,83	0,5	22,98	109,7	25,8	84,3	11,5	17,4	22,1
assay_32	8,15	14,69	0,4	18,06	109,7	25,8	84,3	11,5	17,4	22,1
assay_33	25,74	30,57	0,37	27,43	109,7	25,8	84,3	11,5	17,4	22,1
assay_34	12,28	21,89	0,4	19,02	109,7	25,8	84,3	11,5	17,4	22,1
assay_35	10,82	15,05	0,5	24,22	109,7	25,8	84,3	11,5	17,4	22,1
assay_36	38	46,99	0,39	25,04	109,7	25,8	84,3	11,5	17,4	22,1
assay_37	13,7	18,31	0,54	27,41	109,7	25,8	84,3	11,5	17,4	22,1
assay_38	9,2	16,21	0,49	19,15	109,7	25,8	84,3	11,5	17,4	22,1
assay_39	17,1	21,15	0,44	31,25	109,7	25,8	84,3	11,5	17,4	22,1
assay_40	5,04	8,22	0,45	25	109,7	25,8	84,3	11,5	17,4	22,1
assay_41	3,83	6,27	0,54	24,12	109,7	25,8	84,3	11,5	17,4	22,1
assay_42	21,96	23,67	0,32	34,75	109,7	25,8	84,3	11,5	17,4	22,1
assay_43	7,47	8,85	0,52	28,89	109,7	25,8	84,3	11,5	17,4	22,1
assay_44	2,37	6,54	0,44	12,35	109,7	25,8	84,3	11,5	17,4	22,1
assay_45	11,32	13,82	0,35	26,67	109,7	25,8	84,3	11,5	17,4	22,1
assay_46	3,83	3,36	0,5	47,5	109,7	25,8	84,3	11,5	17,4	22,1
assay_47	2,98	3,64	0,54	32	109,7	25,8	84,3	11,5	17,4	22,1
assay_48	3,93	6,15	0,36	23,33	109,7	25,8	84,3	11,5	17,4	22,1
assay_49	7	9,6	0,61	29,31	109,7	25,8	84,3	11,5	17,4	22,1
assay_50	3,43	5,26	0,53	25,71	109,7	25,8	84,3	11,5	17,4	22,1
assay_51	5,39	9,94	0,32	21,25	109,7	25,8	84,3	11,5	17,4	22,1
assay_52	8,12	10,4	0,53	27,74	109,7	25,8	84,3	11,5	17,4	22,1
assay_53	2,53	5,59	0,3	16,67	109,7	25,8	84,3	11,5	17,4	22,1
assay_54	2,79	4,14	0,36	15,38	109,7	25,8	84,3	11,5	17,4	22,1
assay_55	25,42	27,37	0,54	27,13	109,7	25,8	84,3	11,5	17,4	22,1
assay_56	6,79	11,89	0,63	18,7	109,7	25,8	84,3	11,5	17,4	22,1
assay_57	11,57	17,68	0,46	18,45	109,7	25,8	84,3	11,5	17,4	22,1
assay_58	26,92	36,33	0,43	23,81	109,7	25,8	84,3	11,5	17,4	22,1
assay_59	20,41	34,47	0,29	14,69	109,7	25,8	84,3	11,5	17,4	22,1
assay_60	57,14	64,81	0,37	22,8	109,7	25,8	84,3	11,5	17,4	22,1
assay_61	7,36	10,71	0,69	28,06	109,7	25,8	84,3	11,5	17,4	22,1
assay_62	9,21	13,41	0,52	27,14	109,7	25,8	84,3	11,5	17,4	22,1
assay_63	39,29	40,06	0,65	29,4	109,7	25,8	84,3	11,5	17,4	22,1
assay_64	15,06	17,61	0,69	37,14	109,7	25,8	84,3	11,5	17,4	22,1
assay_65	3,69	9,19	0,58	26,5	109,7	25,8	84,3	11,5	17,4	22,1
assay_66	18,84	23,26	0,59	33,43	109,7	25,8	84,3	11,5	17,4	22,1
assay_67	4,04	4,71	0,59	34,29	109,7	25,8	84,3	11,5	17,4	22,1
assay_68	1,46	2,54	0,55	32,9	109,7	25,8	84,3	11,5	17,4	22,1
assay_69	5,71	6,43	0,56	35,56	109,7	25,8	84,3	11,5	17,4	22,1
assay_70	15,74	17,13	0,77	43,39	109,7	25,8	84,3	11,5	17,4	22,1
assay_71	3,6	5,49	0,58	30	109,7	25,8	84,3	11,5	17,4	22,1
assay_72	19,54	21,91	0,57	40,55	109,7	25,8	84,3	11,5	17,4	22,1
assay_73	3,45	2,95	0,67	31,11	109,7	25,8	84,3	11,5	17,4	22,1
assay_74	0,82	1,73	0,73	20	109,7	25,8	84,3	11,5	17,4	22,1
assay_75	5,8	7,95	0,59	28,33	109,7	25,8	84,3	11,5	17,4	22,1
assay_76	7,04	10,44	0,69	25,53	109,7	25,8	84,3	11,5	17,4	22,1
