"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Infraspecific name]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Seed origin]"	"Characteristics[Study start]"	"Characteristics[Study duration]"	"Characteristics[Growth facility]"	"Characteristics[Geographic location]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Rooting medium]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Plot size]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sowing density]"	"Parameter Value[pH]"	"Protocol REF"	"Parameter Value[Air humidity]"	"Parameter Value[Daily photon flux]"	"Parameter Value[Length of light period]"	"Parameter Value[Day temperature]"	"Parameter Value[Night temperature]"	"Protocol REF"	"Parameter Value[N before fertilisation]"	"Parameter Value[Type of fertiliser]"	"Parameter Value[Amount of fertiliser]"	"Protocol REF"	"Parameter Value[Irrigation type]"	"Parameter Value[Volume]"	"Parameter Value[Frequency]"	"Protocol REF"	"Parameter Value[Experimental unit]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Inoculation]"	"Term Source REF"	"Term Accession Number"	"Factor Value[year]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[block]"	"Term Source REF"	"Term Accession Number"	"Sample Name"
"source_1"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"SAAR"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"1"	""	""	"sample_1"
"source_2"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"SAAR"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"2"	""	""	"sample_2"
"source_3"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"SAAR"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"3"	""	""	"sample_3"
"source_4"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Z/S_4"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"1"	""	""	"sample_4"
"source_5"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Z/S_4"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"2"	""	""	"sample_5"
"source_6"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Z/S_4"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"3"	""	""	"sample_6"
"source_7"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Z/S_10"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"1"	""	""	"sample_7"
"source_8"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Z/S_10"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"2"	""	""	"sample_8"
"source_9"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Z/S_10"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"3"	""	""	"sample_9"
"source_10"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Z/S_14"	""	""	"IPG PAS"	"2010"	"3"	"field"	"Cerekwica, Poland"	""	""	"Rooting"	"luvisol"	""	""	"1"	"square meter"	""	""	"300"	""	"Aerial conditions"	""	"8.4"	"16.2"	""	""	"Nutrition"	""	"NPK"	""	"Watering"	"none"	""	""	"Sampling"	"plot"	""	""	"Inoculated"	""	""	"2010"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"1"	""	""	"sample_10"
